name,description,original_price,seller_name
Apple iPad 10.2-inch (9th Gen) Wi-Fi 2021,,10990000,Tiki Trading
Điện thoại Xiaomi Redmi 9A (2GB/32GB),,2490000,Tiki Trading
Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,,4290000,Techmorevn
Apple iPad Air (5th Gen) Wi-Fi 2022,,18990000,Tiki Trading
Apple iPhone 13,,24990000,Tiki Trading
Điện thoại Xiaomi Redmi 10C (4GB/128GB),,4390000,Tiki Trading
Apple iPhone 14 Pro Max,,33990000,Tiki Trading
Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,,4230000,Shop Máy Đọc Sách Hà Nội
Apple iPhone 14 Pro,,30990000,Tiki Trading
Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,,9990000,Tiki Trading
Apple iPhone 11,,15999000,Tiki Trading
Điện thoại Nokia 110 4G - Hàng chính hãng,,639000,Goldendolphin
Điện Thoại Samsung A14 4GB/128GB - Hàng Chính Hãng,,4490000,Hồng Hạnh Mobile
Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng,,1990000,Tiki Trading
Điện thoại Xiaomi Redmi 10 5G (4GB/64GB),,4790000,Tiki Trading
Điện Thoại Samsung Galaxy A04 (3GB/32GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,,2990000,HAPPY PHONE
Máy đọc sách Kindle Paperwhite 5 (8GB) - Hàng chính hãng,,4990000,Tiki Trading
Điện Thoại Xiaomi Redmi 12C 4GB/64GB - Hàng Chính Hãng,,3590000,Tiki Trading
Điện thoại Realme C55 (6GB/128GB) - Hàng chính hãng,,4790000,Tiki Trading
Điện thoại Samsung Galaxy A23 (4GB/128GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,,5690000,HAPPY PHONE
Máy đọc sách New Kindle 11th 2022 (16GB) - Hàng chính hãng,,3190000,Tiki Trading
Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng - Trắng,,568000,Viễn thông Hà Nhung
Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,,3390000,Shop Máy Đọc Sách Hà Nội
Điện thoại bàn Panasonic  KX-TS500MX-hàng chính hãng,,290000,Viễn thông Hà Nhung
Điện Thoại Samsung Galaxy A04s (4GB/64GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,,3990000,HAPPY PHONE
Máy Tính Bảng Samsung Galaxy Tab A7 Lite T225 3GB/32GB - Hàng Chính Hãng,,4990000,Hồng Hạnh Mobile
Điện thoại Nokia 105 4G - Hàng chính hãng,,629000,Goldendolphin
Điện thoại Tecno SPARK 10 Pro 8GB/128GB - Helio G88 | 5000 mAh | Sạc nhanh 18W | Cảm ứng vân tay - Hàng chính hãng,,3990000,Tecno Official Store
Điện thoại Realme C33 (3GB/32GB) - Hàng chính hãng,,3490000,Tiki Trading
"Máy đọc sách Kindle 2022 (11th) - All new kindle 2022 11th màn hình 6inch 300PPI gấp 2 lần độ sắc nét, 16GB bộ nhớ trong với cổng kết nối USB-C - Hàng nhập khẩu",,2990000,Shop Máy Đọc Sách Hà Nội
Điện Thoại Bàn Panasonic KXTS 520 - Hàng Chính Hãng,,479000,Nova Computer
Apple iPhone 14,,24990000,Tiki Trading
Điện Thoại Xiaomi Redmi Note 12 4GB/128GB - Hàng Chính Hãng,,4990000,Hồng Hạnh Mobile
Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu,,6750000,Techmorevn
Điện thoại Xiaomi Redmi A1 (2GB/32GB),,2490000,Tiki Trading
Apple iPhone 14 Plus,,27990000,Tiki Trading
Điện thoại Gaming Tecno POVA 4 PRO 8GB/128GB - Media Tek G99 | 6000 mAh | Sạc nhanh 45W - Hàng Chính Hãng,,4990000,Tecno Official Store
Combo máy đọc sách Kindle 2022 (11th) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,,3050000,Shop Máy Đọc Sách Hà Nội
Điện thoại Samsung Galaxy A53 5G (8GB/128GB),,9990000,Tiki Trading
Điện thoại TCL 30SE (4GB/128GB) - CRUZE PRO,,3890000,Tiki Trading
Máy đọc sách Boox Leaf 2 - Hàng Chính Hãng,,6290000,Tiki Trading
Máy tính bảng Samsung Galaxy Tab A7 Lite LTE SM-T225) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,,4990000,HAPPY PHONE
Máy Tính Bảng Samsung Galaxy Tab S6 Lite (2022) (4GB/64GB) SM-P619 ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,,9990000,HAPPY PHONE
Điện thoại Gaming Tecno POVA 3 (6GB)/128GB - Helio G88 | 7000 mAh | Sạc nhanh 33W - Hàng Chính Hãng,,4990000,Tecno Official Store
"Điện thoại Tecno SPARK GO 2023 4GB/64GB - Helio A22 | 5000 mAh | 6,6"" HD+| Cảm ứng vân tay | Hàng chính hãng | Bảo hành chính hãng 13 tháng",,2490000,Tecno Official Store
Apple iPad mini (6th Gen) Wi-Fi 2021,,14990000,Tiki Trading
Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da - Hàng nhập khẩu,,3990000,Techmorevn
Điện thoại Tecno CAMON 20 Pro 8GB/256GB - Camera 64MP + 32MP | Helio G99 | 5000 mAh/ 33W | 6.7'' FHD AMOLED - Hàng Chính Hãng - BH 13 Tháng,,5490000,Tecno Official Store
Điện thoại di động Vtel E10 4G – Hàng Chính Hãng,,349000,SHOP THẾ GIỚI CÔNG NGHỆ
Điện thoại Gaming Tecno POVA 4 8GB/128GB - Hàng Chính Hãng - MediaTek G99 | 6000mAh - 6.82 inch - Bảo hành 13 Tháng,,4690000,Tecno Official Store
"Combo máy đọc sách kindle 10th (Kindle Basic 10th), màn hình nhám 6'' 167PPI, Bộ nhớ 4/8GB, nghe sách nói Audible TẶNG KÈM BAO DA (COVER) - Hàng nhập khẩu",,1673000,Shop Máy Đọc Sách Hà Nội
Điện thoại Nokia C21 Plus (2GB/32GB) - Hàng chính hãng,,2590000,Tiki Trading
Điện Thoại Samsung Galaxy A14 (4GB/128GB) - Hàng Chính Hãng,,4490000,Antam Trading
"Điện thoại dành cho người già Good X6 ,chữ to, loa lớn - Mới nguyên hộp",,399000,THẮNG THAO MOBILE
Điện thoại Samsung Galaxy S21 FE 5G (8GB/128GB) - Hàng chính hãng,,16990000,Tiki Trading
Điện Thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng Chính Hãng,,5990000,GiaPhucStore
Điện thoại Xiaomi Redmi Note 12S 4G (8GB/256GB) - Hàng chính hãng,,6690000,HAPPY PHONE
Điện thoại OPPO A55s 5G 4GB/64GB - Màn 90hz - Chống nước IP68 - Hàng nhập khẩu - Bản quốc tế,,3099000,THẮNG THAO MOBILE
Máy đọc sách Boox Poke 4 Lite - Hàng chính hãng,,3990000,Tiki Trading
Điện thoại di động Vtel E10 4G – Hàng Chính Hãng,,339000,Chọn Giá Rẻ
Điện Thoại Thông Minh Xiaomi Poco F3 8GB l 256GB - Hàng Chính Hãng,,9990000,Mimall
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/128GB),,25990000,Tiki Trading
Điện Thoại Smartphone KXD EL D68 3GB/32GB - Hàng chính hãng,,1699000,THẮNG THAO MOBILE
"Điện thoại người già VIETELL V900 4G - bàn phím to, loa to, chữ to, đèn pin siêu sáng, pin khủng - Mới full box",,469000,Điện Thoại TN Store
Điện thoại Realme 10 (8GB/256GB) - Hàng chính hãng,,7190000,Tiki Trading
Điện thoại Xiaomi Redmi Note 10 JE 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,,3990000,THẮNG THAO MOBILE
Điện thoại Tecno SPARK 10 4GB/128GB - Camera 50MP | 5000 mAh | Sạc nhanh 18W | Cảm ứng vân tay - Hàng chính hãng,,3190000,Tecno Official Store
Điện Thoại Oppo A17k (3GB/64GB),,3290000,Tiki Trading
Điện thoại Xiaomi Redmi 10C (4G/128G) - hàng chính hãng,,3490000,LONG TÂM Mobile
"Máy tính bảng Fire HD10 2021 - 11th - (All New Fire HD10 - 2021) - Ram 3/4GB, bộ nhớ 32GB, màn hình 1080 FullHD",,3500000,Shop Máy Đọc Sách Hà Nội
Điện thoại Masstel Lux 20 4G - Sang trọng - Gọi HD Call - Hàng chính hãng,,800000,THẮNG THAO MOBILE
"Điện Thoại Bàn không dây Homephone Lắp Tất Cả Các Sim Đi Động, cố định",,645000,CST Telecom
Điện thoại Tecno SPARK 10 Pro 8GB/256GB - Helio G88 | 5000 mAh | Sạc nhanh 18W | Cảm ứng vân tay - Hàng chính hãng,,4490000,Tecno Official Store
"Điện thoại người già VIETELL V600 4G - bàn phím to, loa to, chữ to, đèn pin siêu sáng, pin khủng - Mới full box",,439000,Điện Thoại TN Store
Điện thoại Masstel Izi 15 - Hàng chính hãng - NEW,,456000,GIA DỤNG VIỆT
Điện thoại Samsung Galaxy A54 5G (8GB/256gb) - Hàng chính hãng,,11490000,Tiki Trading
Điện thoại Gaming Tecno POVA 4 PRO 8GB/256GB - MTK G99| 6000 mAh | Sạc nhanh 45W - Hàng Chính Hãng,,5990000,Tecno Official Store
Điện thoại Xiaomi Redmi Note 10T 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,,4190000,THẮNG THAO MOBILE
Điện thoại bàn Panasonic KX-TGB110 hàng chính hãng,,710000,Viễn thông Hà Nhung
Điện thoại Samsung Galaxy Z Flip 4 (8GB/128GB),,23990000,Tiki Trading
Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng chính hãng,,10490000,Tiki Trading
Điện thoại Samsung Galaxy A13 (4GB/64GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,,3990000,HAPPY PHONE
Máy đọc sách BOOX Poke 5 - Hàng Chính Hãng,,5990000,Tiki Trading
Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,,8490000,HAPPY PHONE
"Điện thoại Fonrox F2160 Thương hiệu mỹ giá rẻ , 2 sim 2 sóng , Máy chắc chắn siêu bền",,299000,THẮNG THAO MOBILE
Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng,,8490000,Tiki Trading
Máy Đọc Sách All New Kindle 10th (Kindle Basic 10th) – Hàng Chính Hãng,,2050000,Shop Máy Đọc Sách Hà Nội
Điện Thoại Itel S23 128GB/16GB (8GB+8GB) | Pin 5000mAh | 6.6 Inch | Camera 50MP | 90Hz | Face ID - Hàng chính Hãng,,3490000,Itel Official
"Máy đọc sách Kindle Paperwhite Gen 4 10th màn hình 6 inch 300PPI, wifi, bluetooth, chống nước IPX8 - Hàng nhập khẩu",,2050000,Shop Máy Đọc Sách Hà Nội
"Điện thoại itel Vision1 Pro (L6502) 3GB/32GB , 6.52"" HD+ , Camera kép - Hàng Chính Hãng",,1790000,THẮNG THAO MOBILE
Máy đọc sách New Kindle 11th 2022 (Kids) kèm bao da - Hàng Chính Hãng,,3299000,Tiki Trading
Điện thoại mini Sothing L8STAR 3310 2 sim 2 sóng- Hàng chính hãng,,360000,SOTHING Xiangwu Official store
Điện thoại Samsung Galaxy S23 Ultra 5G (8GB/256GB),,31990000,Tiki Trading
Điện Thoại Samsung A04s 4GB/64GB - Hàng Chính Hãng,,3990000,Hồng Hạnh Mobile
Điện thoại Samsung Galaxy A14  (4GB/128GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,,4490000,HAPPY PHONE
"Điện thoại OPPO Reno7 A ( 6GB/128GB) Snapdragon 695 5G, Khàng nước IP68 , Màn hình AMOLED 90 Hz - Hàng nhập khẩu nhật - Bản quốc tế",,7500000,THẮNG THAO MOBILE
"Điện thoại thông minh itel A26 - giá rẻ | 2 Sim 2 Sóng 4G LTE | Màn hình IPS 5.7"" HD+ | RAM 2GB + ROM 32 GB (Hỗ trợ thẻ nhớ 32 GB) | Mở khoá bằng Gương Mặt | Chính Hãng bảo hành 12 tháng| 1 đổi 1 trong 30 ngày",,1990000,THẮNG THAO MOBILE
Điện thoại Xiaomi Redmi Note 12 Pro 4G (8GB/256GB) - Hàng chính hãng,,7990000,HAPPY PHONE
Điện Thoại Samsung A34 5G 8GB/128GB - Hàng Chính Hãng,,8490000,Hồng Hạnh Mobile
